Case_ID,First_Party,Second_Party,Image_ID,First_Party_Fault(%),Second_Party_Fault(%),Justification
74604c28-43cd-49d4-9f54-489e19321aad,كنت أقود سيارتي البيضاء بهدوء في خطي، وفجأة توقف السائق أمامي فجأة. حاولت التوقف بسرعة لكنني اصطدمت به من الخلف.,كنت أقود سيارتي الفضية بهدوء، وعلى الرغم من أنني توقفت بسبب ازدحام مفاجئ، إلا أن السيارة التي خلفي لم تتوقف في الوقت المناسب واصطدمت بي من الخلف.,data/imgs/47.jpeg,100,0,الفئة الثانية لم تكن مذنبة لأنها توقفت بسبب الازدحام المفاجئ، في حين أن الفئة الأولى اصطدمت بالمركبة الأمامية من الخلف. وفقًا لنظام المرور السعودي، الفئة الأولى تكون مخطئة في حالات الاصطدام الخلفي لعدم الحفاظ على مسافة آمنة بين المركبات.
74604c28-43cd-49d4-9f54-489e19321aad,كنت أقود بحذر وعلى السرعة القانونية، وفجأة توقفت السيارة أمامي دون أي سبب واضح؛ لم أتمكن من التوقف في الوقت المناسب واصطدمت بها.,كنت أتبع جميع قواعد المرور ولم أقم بأي توقف مفاجئ. السيارة التي خلفي كانت تسير بسرعة كبيرة واصطدمت بي من الخلف.,data/imgs/47.jpeg,100,0,وفقاً للنظام المروري في المملكة العربية السعودية، القاعدة العامة هي أن السائق الذي يصطدم بمؤخرة السيارة أمامه يكون دائماً على خطأ إلا إذا كان بإمكانه إثبات أن السائق الأمامي قد توقف فجأة بدون سبب. في هذه الحالة، لم يتم تقديم دليل على التوقف الفجائي بدون سبب. لذا يعتبر السائق الأول مسؤولاً عن الحادث بنسبة 100 بناءً على (المادة ٥٠/٢/٥ من نظام المرور) والتي تنص على منع استعمال الفرامل بشكل مفاجئ إلا للضرورة أو بداعي السلامة .
74604c28-43cd-49d4-9f54-489e19321aad,كنت أسير بسرعة القانون وعلى بعد مسافة آمنة من السيارة أمامي، لكن فجأة توقفت فجأة واصطدمت بها عن غير قصد.,كنت أسير ببطء بسبب الازدحام، وفجأة شعرت بضربة خلفي. بدى لي أن السيارة التي خلفي لم تكن منتبهة ولم تستطع التوقف في الوقت المناسب.,data/imgs/47.jpeg,100,0,بناءً على الصورة المقدمة والشهادتين، يمكن ملاحظة أن الطرف الأول اصطدم بالطرف الثاني من الخلف. وفقًا للقوانين المرورية السعودية، يُعتبر السائق الذي يصطدم بمركبة أمامه من الخلف مخطئًا وذلك لعدم تركه مسافة آمنة بين المركبتين. يتطلب النظام من السائقين الحفاظ على مسافة آمنة وسرعة مناسبة لتجنب الاصطدامات خلال التوقف المفاجئ للطرف الآخر.
74604c28-43cd-49d4-9f54-489e19321aad,كنت أقود على السرعة القانونية وفجأة توقفت السيارة الفضية أمامي بدون أي تحذير، لم أتمكن من تجنب الاصطدام.,كنت أقود ببطء في خطي، وفجأة جاءت السيارة البيضاء بسرعة واخترقت الازدحام واصطدمت بي من الخلف دون أن تحاول حتى التوقف.,data/imgs/47.jpeg,70,30,السائق الأول (السيارة البيضاء) كان يجب عليه المحافظة على مسافة أمان كافية خلف السيارة الثانية (السيارة الفضية) لتجنب الحادث، وهذا ينتهك المادة 50/2/19 من النظام المروري السعودي. من جهة أخرى، السائق الثاني (السيارة الفضية) قد خالف القانون بالتوقف المفاجئ دون ضرورة واضحة، وهذا ينتهك المادة 50/2/16 من نفس النظام .
8d860487-2bd9-4560-b327-4af7cd1e9c2a,كنت أسير على الطريق الرئيسي بسرعة محددة وبانتظام. كان الضوء الأخضر لي، فجأة ظهرت سيارة أخرى من الجانب دون أي إنذار وتجاوزت الإشارة الحمراء واصطدمت بي.,كنت أقترب من التقاطع وقررت المرور معتقداً أن بإمكاني تجاوز الوقت المتبقي للإشارة الحمراء. لم أتحقق من السيارات القادمة من الجهة الأخرى واصطدمت بسيارة كانت تسير على الطريق الرئيسي.,data/imgs/10.jpeg,0,100,ان الطرف الثاني اعترف بأنه تجاوز إشارة المرور الحمراء ولم يتحقق من السيارات القادمة مما انتهك المادة ٥٠/١٠/٣/١/٢ التي تستوجب الوقوف عند الإشارة الحمراء.
8d860487-2bd9-4560-b327-4af7cd1e9c2a,كنت ملتزماً بنظام المرور والإشارة كانت خضراء لي. فجأة زايدت السرعة من طرف السيارة الأخرى وانفجرت أمامي وتجاوزت الإشارة الحمراء.,السيارة الأخرى كانت تسير بسرعة جنونية وتجاوزت الإشارة الحمراء. حاولت التوقف ولكن كان الأوان قد فات واصطدمت بها.,data/imgs/10.jpeg,0,100,الحزب الثاني يتحمل المسؤولية الكاملة حيث تجاوز الإشارة الحمراء وزاد من سرعة سيارته مما أدى إلى وقوع الحادث. وفقاً للمادة 50/10/3/2/1 من نظام المرور السعودي، يجب على السائق التوقف عند الإشارة الحمراء وعدم تجاوزها.
8d860487-2bd9-4560-b327-4af7cd1e9c2a,كنت أسير على الطريق الرئيسي بسرعة محددة وبانتظام. ضوء الإشارة كان أخضر لي ولم يكن لدي أي خطأ. فجأة ظهرت السيارة الأخرى من الجانب واصطدمت بي.,رأيت أن الإشارة الحمراء كانت قد بدأت وقررت التوقف. ولكن في اللحظة الأخيرة رأيت السيارة الأخرى تتجاوز الإشارة الحمراء بسرعة واصطدمت بي.,data/imgs/10.jpeg,0,100,توضح الصورة أن السيارة الثانية تجاوزت الإشارة الحمراء، وهو مخالف للنظام المرور السعودي. في حين أن السيارة الأولى كانت تسير وفقًا للضوء الأخضر. بناءً على المادة ٥٠/٧/٥ من نظام المرور التي تنص على وجوب عدم القيادة خلال إشارة المرور الحمراء .
8d860487-2bd9-4560-b327-4af7cd1e9c2a,الضوء كان أخضر لي وكنت أسير بسرعة قانونية. فجأة ظهرت السيارة الأخرى من الجانب واصطدمت بي. لم أفهم السبب لأنني كنت ملتزماً بالقوانين.,كنت أقترب من التقاطع بإشارة حمراء وعرفت أنه ليس لدي الحق في المرور، لكن السيارة الأخرى خرجت من العدم بسرعة واصطدمت بي.,data/imgs/10.jpeg,0,100,الطرف الثاني يعترف بأنه اقترب من التقاطع بإشارة حمراء، مما يعني أنه كان يجب عليه التوقف وعدم التحرك حتى تتحول الإشارة إلى اللون الأخضر. بناءً على الصورة المرفقة، الطرف الأول كان يتحرك بإشارة خضراء مما يعطيه الأولوية في المرور.
328ee4e7-823d-456c-8c4c-4d910d1b7c44,كنت أقود سيارتي ببطء في الزحام وتوقفت فجأة بسبب حركة المرور. فوجئت بأن السيارة التي خلفي لم تتمكن من التوقف في الوقت المناسب واصطدمت بسيارتي من الخلف.,كنت أقود سيارتي خلف السيارة الأمامية وعندما توقفت فجأة لم أتمكن من التوقف بسرعة كافية، مما أدى إلى اصطدامي بها من الخلف.,data/imgs/51.jpeg,0,100,حسب لوائح المرور السعودية، يُعتبر سائق المركبة الثانية هو المتسبب في الحادث بنسبة 100، وذلك لعدم مراعاة مسافة الأمان الكافية بين المركبات، مما أدى إلى اصطدامه بالمركبة الأولى التي توقفت فجأة بسبب الزحام. بناءً على المادة 50/2/19 هناك ضرورة للحفاظ على مسافة كافية لتجنب الحوادث الخلفية.
328ee4e7-823d-456c-8c4c-4d910d1b7c44,كنت أقود سيارتي ببطء عندما توقفت فجأة بسبب حركة المرور. السيارة التي خلفي جاءت بسرعة واصطدمت بي دون أي سبب واضح.,كنت أقود ببطء وكانت السيارة الأمامية تتحرك ببطء أيضا. فجأة توقفت بدون مرآة إشعال الأنوار التحذيرية، ولم أتمكن من التوقف في الوقت المناسب.,data/imgs/51.jpeg,30,70,الحادث حصل بسبب توقف الطرف الأول بشكل مفاجئ، ولكن الطرف الثاني لم يلتزم بالمسافة الآمنة حيث يقول النظام 'بحيث يتعين على السائقين المحافظة على مسافة تفصل بينهم وبين المركبات الأمامية'.
